"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"My Account","내 계정"
"My Cart","장바구니"
"Furniture","가구"
"Living Room","주방용품"
"Log In","로그인"
"You have no items in your shopping cart.","장바구니 내역이 없습니다."
"You have no items to compare.","비교할 상품이 없습니다."
"Compare Products","상품 비교"
"Add to Cart","장바구니담기"
"Community Poll","투표하기"
"Add to Wishlist","위시리스트 추가"
"Add to Compare","비교하기 추가"
"My Wishlist","내 위시리스트"
"Checkout","체크아웃"
"Your Language:","언어"
"Privacy Policy","개인정보보호정책"
"Popular Tags","인기태그"
"Email to a Friend","친구에게 메일보내기"
"Be the first to review this product","상품 리뷰 남기기"
"Details","상세설명"
"Additional Information","추가정보"
"Product Tags","상품태그"
"Vote","투표하기"
"Shoe Size","신발크기"
"Add Your Tags:","태그 추가:"
"Add Tags","태그입력"
"Use spaces to separate tags. Use single quotes (') for phrases.","공백으로 태그 구분,single quote(')로 단어구분"
"Qty:","수량:"
"Qty","수량"
"Quick Overview","개요"
"In stock","있음"
"Availability:","재고:"
"Out of stock","품절"
"Double click on above image to view full picture","이미지를 더블클릭하면 상세이미지를 볼 수 있습니다."
"More Views","더보기"
"Model","모델"
"Sort By","정렬기준"
"Category","카테고리"
"Price","가격"
"Color","색상"
"Recently Viewed Products","최근 본 상품"
"Newsletter","소식지"
"Sign Up for Our Newsletter:","소식지 신청 주소"
"Subscribe","구독하기"
"Manufacturer","제조사"
"Brand","브랜드"
"Product Name","상품명"
"Unit Price","단가"
"Subtotal","소계"
"Continue Shopping","계속 쇼핑하기"
"Clear Shopping Cart","장바구니 지우기"
"Update Shopping Cart","장바구니 업데이트"
"Grand Total","합계"
"Discount Codes","쿠폰등록"
"Apply Coupon","쿠폰적용하기"
"OR","또는"
"Related Products","관련 제품"
"Check items to add to the cart or","장바구니에 추가 할 상품 선택 또는"
"select all","모두 선택"
"%d Review(s)","%d 리뷰"
"Add Your Review","당신의 리뷰를 추가하세요"
"Shopping Options","쇼핑 옵션"
"Shoe Type","신발 타입"
"Choose an Option...","옵션을 선택..."
"* Required Fields","* 필수 필드"
"Name","이름"
"per page","페이지"
"Living Room","거실"
"Megapixels","화소"
"Contrast Ratio","명암비"
"Create an Account","계정 생성"
"Login","로그인"
